,Template,Paper,Re: RESTUD: MS 24476-3 Accepted,Re: RESTUD: MS 26198-3 Accepted,Re: RESTUD: MS 26541-2 Accepted,Re: RESTUD: MS 26541-2 Accepted,Re: RESTUD: MS 24500-4 Accepted,Re: RESTUD: MS 26235-4 Accepted,Re: RESTUD: MS 26468-4 Accepted,Re: RESTUD: MS 24250-4 Accepted,Re: RESTUD: MS 24078-3 Accepted,Re: RESTUD: MS 26024-4 Accepted,Re: RESTUD: MS 24792-3 Accepted,Re: RESTUD: MS 25446-3 Accepted,Re: RESTUD: MS 25845-3 Accepted,Re: RESTUD: MS 27369-3 Accepted,Re: RESTUD: MS 24777-3 Accepted,Re: RESTUD: MS 27825-3 Accepted,Re: RESTUD: MS 28192-3 Accepted,Re: RESTUD: MS 27157-5 Accepted,24767,27720,26570,28198,29186,26197,Test card,19690,26084,Re: RESTUD: MS 27827-3 Accepted,29023,27690,27007,Re: RESTUD: MS 27157-5 Accepted,25485,24402,25338,27104,26058,27528,26084,29375,Re: RESTUD: MS 25146-3 Accepted,Re: RESTUD: MS 28434-3 Accepted,Re: RESTUD: MS 27965-3 Accepted,AEJApp-2020-0615.R1,Re: RESTUD: MS 26990-3 Accepted,25306,24920,26715,Re: RESTUD: MS 25098-3 Accepted,Re: RESTUD: MS 25077-4 Accepted,Re: RESTUD: MS 25304-4 Accepted,Re: RESTUD: MS 26920-3 Accepted,26437,26299,24500,23269,23594,25632,23976,Re: RESTUD: MS 24152-3 Accepted,Re: RESTUD: MS 27804-3 Accepted,Re: RESTUD: MS 27258-3 Accepted,Re: RESTUD: MS 24045-3 Accepted,Re: RESTUD: MS 25136-4 Accepted,26586,25389,Re: RESTUD: MS 21202-4 Accepted,Re: RESTUD: MS 26167-2 Accepted,Re: RESTUD: MS 23580-4 Accepted,Re: RESTUD: MS 19690-3 Accepted,Re: RESTUD: MS 26023-2 Accepted,Re: RESTUD: MS 25255-4 Accepted,Re: RESTUD: MS 23441-3 Accepted,18075,24845,Re: RESTUD: MS 27144-4 Accepted,Re: RESTUD: MS 24618-5 Accepted,Re: RESTUD: MS 23975-3 Accepted,Re: RESTUD: MS 27118-2 Accepted,Re: RESTUD: MS 10624-5 Accepted,Re: RESTUD: MS 26154-4 Accepted,Re: RESTUD: MS 28949-2 Accepted,Re: RESTUD: MS 26331-3 Accepted,Re: RESTUD: MS 24307-3 Accepted,Re: RESTUD: MS 27014-3 Accepted,Re: RESTUD: MS 23483-3 Accepted,Re: RESTUD: MS 28407-2 Accepted,Re: RESTUD: MS 28598-2 Accepted,Re: RESTUD: MS 26684-3 Accepted,Re: RESTUD: MS 25364-4 Accepted,Re: RESTUD: MS 27531-3 Accepted,Re: RESTUD: MS 26763-3 Accepted,Re: RESTUD: MS 28178-2 Accepted,Re: RESTUD: MS 26460-3 Accepted,Re: RESTUD: MS 27221-3 Accepted,28192,Re: RESTUD: MS 25945-4 Accepted,Re: RESTUD: MS 26693-3 Accepted,Re: RESTUD: MS 25355-4 Accepted,Re: RESTUD: MS 28352-2 Accepted,Re: RESTUD: MS 28171-2 Accepted,Re: RESTUD: MS 28728-3 Accepted,Re: RESTUD: MS 25000-3 Accepted,Re: RESTUD: MS 27912-3 Accepted,Re: RESTUD: MS 24921-4 Accepted,Re: RESTUD: MS 25930-3 Accepted,Re: RESTUD: MS 26008-3 Accepted,Re: RESTUD: MS 28638-3 Accepted,Re: RESTUD: MS 27512-3 Accepted,27511,Re: RESTUD: MS 26128-3 Accepted,28191,Re: RESTUD: MS 24181-4 Accepted,28063,Re: RESTUD: MS 22272-4 Accepted,28130,28091,Re: RESTUD: MS 24240-5 Accepted,23961,29277,27079,27021,24700,25310,Re: RESTUD: MS 25886-3 Accepted,Re: RESTUD: MS 26256-3 Accepted,Re: RESTUD: MS 27027-4 Accepted,Re: RESTUD: MS 27788-3 Accepted,Re: RESTUD: MS 28300-3 Accepted,Re: RESTUD: MS 28433-3 Accepted,Re: RESTUD: MS 26683-3 Accepted,Re: RESTUD: MS 25843-3 Accepted,27608,26650,28279,29044,29044
date6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2021-07-12T16:02,2021-08-05T09:26,2021-07-12T19:45,2021-08-05T10:07,,,2021-06-15T08:00,2021-08-12T09:14,2021-08-12T09:20,2021-08-12T09:17,,2021-08-12T08:57,,,,,2021-08-05T09:53,2021-07-30T11:15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2021-05-26T15:09,,2021-06-02T08:42,2021-06-09T08:38,2021-06-09T08:36,2021-06-17T09:10,2021-06-02T13:45,2021-06-24T21:05,2021-07-09T11:55,2021-07-14T13:04,2021-06-23T08:54,2021-06-17T09:12,2021-07-07T08:40,2021-07-21T12:43,2021-07-09T12:30,,,,,,,,,,,2021-08-05T16:36,,
list_before6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,At editor,At author,,,,,Author submitted,At author,,At author,,At author,,,,,,Author submitted,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,At editor,,At author,,At author,At author,,,At editor,Author submitted,At author,,,,,,,,,,,,,,,,,
list_after6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,At author,Author submitted,,,,,At team,Author submitted,,Author submitted,,Author submitted,,,,,,At team,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Editor accepted,,Author submitted,,Author submitted,Author submitted,,,At author,At team,Author submitted,,,,,,,,,,,,,,,,,
activity7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,updateCard,updateCard,updateCard,updateCard,,,updateCard,updateCard,updateCard,updateCard,,updateCard,,,,,updateCard,updateCard,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,updateCard,,updateCard,updateCard,updateCard,updateCard,updateCard,,updateCard,updateCard,updateCard,updateCard,updateCard,updateCard,updateCard,,,,,,,,,,,,,
date7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2021-07-12T16:02,2021-08-09T10:17,2021-07-14T14:45,2021-08-05T10:09,,,2021-06-15T11:42,2021-08-12T09:14,2021-08-12T09:21,2021-08-12T09:17,,2021-08-16T15:39,,,,,2021-08-05T09:53,2021-07-30T11:17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2021-05-26T15:09,,2021-06-04T10:46,2021-06-09T12:57,2021-06-09T12:16,2021-06-17T09:10,2021-06-09T08:39,,2021-07-09T11:55,2021-07-14T14:07,2021-06-23T15:17,2021-06-18T05:51,2021-07-07T10:47,2021-07-22T12:52,2021-07-21T12:45,,,,,,,,,,,,,
list_before7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Author submitted,Author submitted,,,,At team,,,,,Author submitted,,,,,,At team,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Author submitted,Author submitted,Author submitted,,At author,,,At team,Author submitted,Author submitted,Author submitted,Author submitted,At author,,,,,,,,,,,,,
list_after7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,At team,At team,,,,At editor,,,,,At team,,,,,,Author submitted,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,At team,At team,At team,,Author submitted,,,At editor,At team,At team,At team,At team,Author submitted,,,,,,,,,,,,,
activity8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,updateCard,updateCard,updateCard,updateCard,,,updateCard,updateCard,updateCard,updateCard,,updateCard,,,,,,updateCard,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,updateCard,updateCard,updateCard,updateCard,updateCard,,updateCard,updateCard,updateCard,updateCard,updateCard,updateCard,updateCard,,,,,,,,,,,,,
date8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2021-08-05T10:04,2021-08-09T10:17,2021-07-21T12:52,2021-08-09T08:18,,,2021-06-24T19:19,2021-08-12T09:18,2021-08-13T09:32,2021-08-12T09:18,,2021-08-16T18:35,,,,,,2021-08-02T08:44,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2021-06-04T10:48,2021-06-09T13:28,2021-06-09T12:44,2021-06-17T14:56,2021-06-09T08:39,,2021-07-13T09:29,2021-07-14T14:07,2021-06-23T17:00,2021-06-18T05:53,2021-07-07T12:59,2021-07-22T13:28,2021-07-21T12:45,,,,,,,,,,,,,
list_before8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,At author,,At team,Author submitted,,,At editor,,Author submitted,,,At team,,,,,,Author submitted,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,At team,At team,At team,Author submitted,,,At author,At editor,At team,At team,At team,At team,,,,,,,,,,,,,,
list_after8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Author submitted,,At editor,At team,,,At author,,At team,,,At editor,,,,,,At editor,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,At editor,At editor,At editor,At team,,,Author submitted,At team,At editor,Author submitted,At editor,At editor,,,,,,,,,,,,,,
activity9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,updateCard,updateCard,updateCard,updateCard,,,updateCard,updateCard,updateCard,updateCard,,updateCard,,,,,,updateCard,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,updateCard,updateCard,updateCard,updateCard,updateCard,,updateCard,updateCard,updateCard,updateCard,updateCard,updateCard,updateCard,,,,,,,,,,,,,
date9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2021-08-05T10:04,2021-08-09T10:45,2021-07-30T08:21,2021-08-09T11:49,,,2021-06-24T19:19,2021-08-12T09:27,2021-08-13T09:32,2021-08-12T09:21,,2021-08-16T18:35,,,,,,2021-08-05T11:09,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2021-06-09T10:41,2021-06-09T13:28,2021-06-09T20:30,2021-06-17T15:05,2021-06-09T13:28,,2021-07-13T09:29,2021-07-14T14:07,2021-06-23T17:00,2021-06-19T09:16,2021-07-12T15:08,2021-07-30T08:46,2021-07-22T14:14,,,,,,,,,,,,,
list_before9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,At team,At editor,At team,,,,Author submitted,,,,,,,,,,At editor,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,At editor,,At editor,At team,Author submitted,,,At team,,Author submitted,At editor,At editor,Author submitted,,,,,,,,,,,,,
list_after9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,At editor,At author,At editor,,,,At team,,,,,,,,,,At author,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Editor accepted,,At author,At editor,At team,,,At editor,,At team,At author,Editor accepted,At team,,,,,,,,,,,,,
activity10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,updateCard,,updateCard,updateCard,,,updateCard,updateCard,updateCard,updateCard,,,,,,,,updateCard,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,updateCard,updateCard,updateCard,updateCard,updateCard,,updateCard,updateCard,updateCard,updateCard,updateCard,updateCard,updateCard,,,,,,,,,,,,,
date10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2021-08-05T10:06,,2021-07-30T08:21,2021-08-09T11:49,,,2021-08-05T16:31,2021-08-12T09:27,2021-08-13T10:11,2021-08-13T10:11,,,,,,,,2021-08-05T11:09,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2021-06-09T10:41,2021-06-09T20:48,2021-06-09T20:30,2021-06-17T15:05,2021-06-09T20:07,,2021-07-14T08:42,2021-07-15T10:54,2021-07-07T12:16,2021-06-19T10:14,2021-07-12T15:08,2021-07-30T08:46,2021-07-22T15:54,,,,,,,,,,,,,
list_before10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,At author,,At team,Author submitted,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,At editor,,,At team,,,At editor,At editor,At team,,,At team,,,,,,,,,,,,,
list_after10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Author submitted,,At editor,At team,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,At author,,,At editor,,,Editor accepted,At author,At editor,,,At editor,,,,,,,,,,,,,
activity11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,updateCard,,updateCard,,,,updateCard,updateCard,updateCard,updateCard,,,,,,,,updateCard,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,updateCard,updateCard,updateCard,updateCard,,updateCard,updateCard,updateCard,updateCard,updateCard,,updateCard,,,,,,,,,,,,,
date11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2021-08-09T11:30,,2021-07-30T08:21,,,,2021-08-05T16:31,2021-08-13T08:15,2021-08-13T10:11,2021-08-13T10:11,,,,,,,,2021-08-05T11:09,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2021-06-09T20:48,2021-06-17T09:10,2021-06-24T20:50,2021-06-09T20:07,,2021-07-14T08:43,2021-07-15T10:54,2021-07-07T12:16,2021-06-19T10:14,2021-07-21T12:37,,2021-07-30T17:58,,,,,,,,,,,,,
list_before11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Author submitted,,,,,,,At team,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,At author,At editor,,,Author submitted,,,,At author,,At editor,,,,,,,,,,,,,
list_after11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,At team,,,,,,,At editor,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Author submitted,Editor accepted,,,At team,,,,Author submitted,,Author submitted,,,,,,,,,,,,,
activity12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,updateCard,,updateCard,,,,updateCard,updateCard,,updateCard,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,updateCard,updateCard,updateCard,updateCard,,updateCard,,updateCard,updateCard,updateCard,,updateCard,,,,,,,,,,,,,
date12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2021-08-09T11:30,,2021-08-05T09:34,,,,2021-08-10T09:21,2021-08-13T08:15,,2021-08-13T12:22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2021-06-17T09:10,2021-06-17T09:10,2021-06-24T20:50,2021-06-09T21:36,,2021-07-14T12:45,,2021-07-12T19:44,2021-07-07T11:51,2021-07-21T12:37,,2021-07-30T17:58,,,,,,,,,,,,,
list_before12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,At author,,,,Author submitted,,,At team,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,At author,,,At editor,,At team,,At author,At editor,,,,,,,,,,,,,,,,
list_after12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Author submitted,,,,At team,,,At editor,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Author submitted,,,At author,,At editor,,Author submitted,Author submitted,,,,,,,,,,,,,,,,
activity13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,updateCard,,,,updateCard,,,updateCard,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,updateCard,updateCard,,updateCard,,updateCard,,updateCard,updateCard,updateCard,,updateCard,,,,,,,,,,,,,
date13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2021-08-05T09:34,,,,2021-08-10T10:55,,,2021-08-13T12:22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2021-06-17T14:13,2021-06-17T14:48,,2021-06-09T21:36,,2021-07-15T10:36,,2021-07-12T19:44,2021-07-07T11:51,2021-07-21T13:51,,2021-08-02T09:50,,,,,,,,,,,,,
list_before13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,At team,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Author submitted,Author submitted,,,,At editor,,,,Author submitted,,Author submitted,,,,,,,,,,,,,
list_after13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,At editor,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,At team,At team,,,,Editor accepted,,,,At team,,At team,,,,,,,,,,,,,
activity14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,updateCard,,,,updateCard,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,updateCard,updateCard,,updateCard,,updateCard,,updateCard,updateCard,updateCard,,updateCard,,,,,,,,,,,,,
date14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2021-08-05T09:37,,,,2021-08-10T10:55,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2021-06-17T14:48,2021-06-17T14:56,,2021-06-17T09:11,,2021-07-15T10:36,,2021-07-14T14:07,2021-07-07T14:24,2021-07-22T12:52,,2021-08-02T11:16,,,,,,,,,,,,,
list_before14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,At team,At team,,At author,,,,Author submitted,Author submitted,At team,,At team,,,,,,,,,,,,,
list_after14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,At editor,At editor,,Author submitted,,,,At team,At team,At editor,,At editor,,,,,,,,,,,,,
activity15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,updateCard,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,updateCard,updateCard,,updateCard,,,,updateCard,updateCard,updateCard,,updateCard,,,,,,,,,,,,,
date15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2021-08-09T10:45,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2021-06-17T14:48,2021-06-17T14:56,,2021-06-17T09:11,,,,2021-07-14T14:45,2021-07-07T14:28,2021-07-30T08:24,,2021-08-05T11:35,,,,,,,,,,,,,
list_before15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Author submitted,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,At team,At team,At editor,,At editor,,,,,,,,,,,,,
list_after15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,At team,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,At editor,At editor,Editor accepted,,Editor accepted,,,,,,,,,,,,,
activity16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,updateCard,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,updateCard,updateCard,,updateCard,,,,updateCard,updateCard,updateCard,,updateCard,,,,,,,,,,,,,
date16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2021-08-09T10:45,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2021-06-24T19:25,2021-06-24T20:47,,2021-06-17T15:06,,,,2021-07-15T10:59,2021-07-07T14:28,2021-07-30T08:24,,2021-08-05T11:35,,,,,,,,,,,,,
list_before16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,At editor,At editor,,Author submitted,,,,At editor,,,,,,,,,,,,,,,,,
list_after16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Editor accepted,Editor accepted,,At team,,,,Editor accepted,,,,,,,,,,,,,,,,,
activity17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,updateCard,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,updateCard,updateCard,,updateCard,,,,updateCard,updateCard,,,,,,,,,,,,,,,,
date17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2021-08-09T11:30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2021-06-24T19:25,2021-06-24T20:47,,2021-06-18T05:51,,,,2021-07-15T10:59,2021-07-09T11:08,,,,,,,,,,,,,,,,
list_before17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,At team,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,At team,,,,,At editor,,,,,,,,,,,,,,,,
list_after17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,At editor,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,At editor,,,,,At author,,,,,,,,,,,,,,,,
activity18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,updateCard,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,updateCard,,,,,updateCard,,,,,,,,,,,,,,,,
date18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2021-08-09T11:30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2021-06-18T05:51,,,,,2021-07-09T11:08,,,,,,,,,,,,,,,,
list_before18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
list_after18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
activity19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,updateCard,,,,,updateCard,,,,,,,,,,,,,,,,
date19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2021-06-24T20:58,,,,,2021-07-13T09:29,,,,,,,,,,,,,,,,
list_before19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,At editor,,,,,At author,,,,,,,,,,,,,,,,
list_after19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Editor accepted,,,,,Author submitted,,,,,,,,,,,,,,,,
activity20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,updateCard,,,,,updateCard,,,,,,,,,,,,,,,,
date20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2021-06-24T20:58,,,,,2021-07-13T09:29,,,,,,,,,,,,,,,,
list_before20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
list_after20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
activity21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,updateCard,,,,,,,,,,,,,,,,
